RP OK!
Getting device info...model: 24
FW min: 25
FW maj: 1
HW: 5
Serial: B0 E4 9A F2 C1 EA 9F C3 BE EB 9C F3 3F 37 32 03 
Spinning up...
Scanning...
dist ; theta
____________
0 , 0, 1372
0 , 40, 1391
3971 , 206, 1410
3971 , 238, 1430
3971 , 254, 1450
4687 , 0, 1470
16079 , 33, 1490
8109 , 124, 1511
8152 , 124, 1533
11240 , 470, 1554
2920 , 302, 1575
1348 , 38, 1596
1369 , 40, 1617
3971 , 390, 1655
3971 , 442, 1676
5711 , 32, 1697
335 , 32, 1718
8314 , 124, 1739
8357 , 124, 1760
3433 , 82, 1782
11689 , 442, 1803
1394 , 45, 1824
1357 , 46, 1846
935 , 49, 1867
3971 , 236, 1889
3971 , 322, 1910
5199 , 0, 1930
16207 , 33, 1952
8575 , 124, 1973
8620 , 124, 1994
1002 , 150, 2016
11818 , 2, 2038
8490 , 354, 2061
940 , 55, 2082
968 , 56, 2103
3971 , 329, 2124
3971 , 461, 2145
12239 , 34, 2166
6863 , 34, 2187
8850 , 124, 2209
8896 , 124, 2231
8555 , 334, 2271
4779 , 178, 2293
1039 , 62, 2313
1023 , 65, 2334
3972 , 79, 2354
3972 , 245, 2375
4943 , 36, 2397
207 , 36, 2418
9088 , 124, 2439
9129 , 124, 2461
9172 , 124, 2483
11756 , 14, 2505
9644 , 358, 2527
947 , 72, 2550
936 , 72, 2572
3972 , 405, 2594
3973 , 99, 2615
11343 , 39, 2637
6991 , 39, 2658
1615 , 40, 2679
9414 , 124, 2701
9456 , 124, 2723
7552 , 214, 2746
6145 , 70, 2768
889 , 81, 2790
884 , 82, 2811
2435 , 445, 2834
3971 , 273, 2855
3203 , 147, 2876
13519 , 36, 2897
7887 , 37, 2919
9689 , 124, 2941
9733 , 124, 2963
11393 , 426, 2985
11970 , 274, 3006
857 , 89, 3027
855 , 90, 3048
3970 , 511, 3069
3971 , 5, 3090
3971 , 113, 3111
4559 , 40, 3132
15695 , 41, 3153
10195 , 124, 3174
10023 , 124, 3196
8451 , 186, 3217
10691 , 18, 3238
852 , 99, 3259
851 , 100, 3281
853 , 101, 3302
3968 , 1, 3322
3972 , 89, 3343
14159 , 41, 3365
9679 , 39, 3386
10275 , 108, 3407
10536 , 4, 3430
1796 , 58, 3451
5380 , 422, 3473
10308 , 250, 3494
870 , 108, 3515
873 , 111, 3535
3971 , 397, 3556
3972 , 227, 3576
9807 , 36, 3596
5199 , 35, 3617
10557 , 124, 3638
10600 , 124, 3658
3205 , 346, 3678
2949 , 190, 3698
8453 , 46, 3718
911 , 119, 3738
921 , 119, 3759
3968 , 1, 3780
3968 , 1, 3801
4175 , 32, 3822
15695 , 33, 3842
10858 , 124, 3863
10903 , 124, 3885
10947 , 124, 3906
8262 , 170, 3927
11846 , 498, 3949
988 , 127, 3970
1003 , 128, 3991
3972 , 503, 4012
3972 , 35, 4033
15951 , 30, 4053
11471 , 29, 4074
11158 , 124, 4114
11203 , 124, 4135
6471 , 102, 4157
2119 , 474, 4178
1088 , 135, 4199
1112 , 137, 4221
3972 , 1, 4242
3972 , 51, 4262
15823 , 28, 4302
10703 , 28, 4322
11413 , 124, 4343
11457 , 124, 4365
16200 , 122, 4386
13192 , 478, 4408
1236 , 142, 4430
1265 , 145, 4451
3972 , 93, 4473
3972 , 221, 4495
3972 , 371, 4517
7247 , 28, 4538
2255 , 28, 4558
185 , 124, 4579
228 , 124, 4601
16009 , 462, 4622
14346 , 290, 4643
975 , 153, 4664
823 , 154, 4685
800 , 155, 4705
3972 , 365, 4723
3972 , 77, 4743
15567 , 30, 4762
10191 , 32, 4783
473 , 124, 4803
517 , 124, 4825
7051 , 250, 4846
6667 , 70, 4866
5771 , 438, 4886
768 , 163, 4906
841 , 165, 4927
3972 , 417, 4947
3973 , 177, 4968
11584 , 36, 4988
844 , 0, 5007
755 , 124, 5027
801 , 124, 5048
4812 , 462, 5069
4940 , 310, 5090
5196 , 162, 5111
0 , 179, 5132
0 , 180, 5152
3973 , 331, 5171
3973 , 281, 5191
14799 , 37, 5212
9550 , 36, 5231
1053 , 124, 5251
1097 , 124, 5271
1141 , 124, 5292
9101 , 46, 5313
9677 , 414, 5334
1074 , 180, 5354
1013 , 183, 5374
3972 , 367, 5395
3972 , 219, 5414
4687 , 58, 5434
16207 , 56, 5454
1345 , 124, 5492
1391 , 124, 5512
78 , 506, 5533
2702 , 350, 5553
1050 , 188, 5574
874 , 191, 5593
3972 , 156, 5612
3972 , 30, 5631
5711 , 53, 5669
719 , 51, 5688
1620 , 124, 5707
1662 , 124, 5727
14671 , 426, 5748
911 , 278, 5768
1087 , 196, 5787
1089 , 198, 5807
3972 , 40, 5828
3971 , 486, 5848
3971 , 60, 5867
13647 , 49, 5887
8399 , 48, 5908
1893 , 124, 5929
1939 , 124, 5950
4752 , 86, 5971
9040 , 438, 5992
1126 , 205, 6014
1135 , 206, 6035
1144 , 208, 6056
3971 , 338, 6078
3971 , 24, 6099
3279 , 46, 6120
14543 , 45, 6141
2177 , 124, 6162
2220 , 124, 6183
6545 , 194, 6204
13713 , 38, 6225
1197 , 214, 6265
1212 , 214, 6286
3971 , 134, 6306
3971 , 168, 6327
14671 , 44, 6348
9423 , 45, 6369
2414 , 124, 6389
2458 , 124, 6410
10962 , 18, 6431
5586 , 366, 6452
82 , 210, 6473
1237 , 223, 6494
1191 , 224, 6514
3971 , 438, 6535
3971 , 12, 6556
3663 , 45, 6576
14671 , 45, 6597
2692 , 124, 6617
2736 , 124, 6638
2783 , 124, 6658
